,generation,pfit,run
391,3,3.918595635015537,1
392,3,3.9124036647676164,1
393,3,3.9001335721758013,1
394,3,3.840944700785471,1
395,3,3.795993312923205,1
396,3,3.795993312923205,1
397,3,3.7905138471585786,1
398,3,3.7635580371700508,1
399,3,3.681880006155784,1
400,4,84.71353194306673,1
401,4,75.47853908213776,1
402,4,75.35455310235676,1
403,4,75.35455310235676,1
404,4,75.21310261863329,1
405,4,66.36164533066625,1
406,4,66.34051778424038,1
407,4,66.26990021702643,1
408,4,66.10559716573515,1
409,4,57.443171938300466,1
410,4,48.89405452609942,1
411,4,48.21925648420767,1
412,4,47.81998334634741,1
413,4,39.63402398497815,1
414,4,39.601837298482245,1
415,4,39.44704041507838,1
416,4,39.368788218178636,1
417,4,39.31982739098293,1
418,4,37.50002345904788,1
419,4,30.84094470078547,1
420,4,30.737309811095116,1
421,4,30.737309811095116,1
422,4,30.667281206734632,1
423,4,30.64341372532799,1
424,4,30.62936197187234,1
425,4,30.62936197187234,1
426,4,30.624721592315836,1
427,4,30.57065437104556,1
428,4,30.57065437104556,1
429,4,30.52353644806849,1
430,4,30.511062273843308,1
431,4,30.48657125383501,1
432,4,30.482547103535293,1
433,4,30.394197933704003,1
434,4,22.002787726235887,1
435,4,21.943754194651692,1
436,4,21.918595635015535,1
437,4,21.918595635015535,1
438,4,21.906249799193237,1
439,4,21.906249799193237,1
440,4,21.906249799193237,1
441,4,21.906249799193237,1
442,4,21.906249799193237,1
443,4,21.906249799193237,1
444,4,21.906249799193237,1
445,4,21.906249799193237,1
446,4,21.906249799193237,1
447,4,21.906249799193237,1
448,4,21.906249799193237,1
449,4,21.906249799193237,1
450,4,21.906249799193237,1
451,4,21.906249799193237,1
452,4,21.906249799193237,1
453,4,21.906249799193237,1
454,4,21.906249799193237,1
455,4,21.906249799193237,1
456,4,21.906249799193237,1
457,4,21.906249799193237,1
458,4,21.906249799193237,1
459,4,21.906249799193237,1
460,4,21.76355803717005,1
461,4,21.65766574803519,1
462,4,21.61550493721091,1
463,4,21.561920691076804,1
464,4,21.5446788846423,1
465,4,21.527729326328526,1
466,4,21.498741789455273,1
467,4,21.470570912488576,1
468,4,21.168117522716482,1
469,4,20.9717214797693,1
470,4,20.855814365874355,1
471,4,20.769518552421516,1
472,4,20.386615781620442,1
473,4,13.009567413221264,1
474,4,13.009567413221264,1
475,4,13.002787726235885,1
476,4,12.931095797779768,1
477,4,12.918595635015537,1
478,4,12.906249799193237,1
479,4,12.906249799193237,1
480,4,12.900133572175797,1
481,4,12.888012211643456,1
482,4,12.864201562949738,1
483,4,12.864201562949738,1
484,4,12.852505523186544,1
485,4,12.852505523186544,1
486,4,12.70168263345196,1
487,4,12.615504937210908,1
488,4,12.6109282701835,1
489,4,12.583899597795579,1
490,4,12.548961546434299,1
491,4,12.548961546434299,1
492,4,12.511062273843313,1
493,4,12.498741789455273,1
494,4,12.462665732981463,1
495,4,12.462665732981463,1
496,4,12.45092391510478,1
497,4,12.447040415078384,1
498,4,12.386871893611929,1
499,4,12.386871893611929,1
500,5,84.71353194306673,1
501,5,75.47853908213776,1
502,5,75.35455310235676,1
503,5,75.35455310235676,1
504,5,75.22855887686998,1
505,5,75.21310261863329,1
506,5,66.36164533066625,1
507,5,66.34051778424038,1
508,5,66.33703951986405,1
509,5,66.27968822339258,1
510,5,66.26990021702643,1
511,5,66.24742736117437,1
512,5,66.10559716573515,1
513,5,57.58835394814496,1
514,5,57.47853908213776,1
515,5,57.443171938300466,1
516,5,57.2731522524128,1
517,5,48.89405452609942,1
518,5,48.785064242391016,1
519,5,48.511062273843315,1
520,5,48.34751081973135,1
521,5,48.21925648420767,1
522,5,47.81998334634741,1
523,5,47.744249958246634,1
524,5,39.68679402095821,1
525,5,39.648141866523936,1
526,5,39.63402398497815,1
527,5,39.62010264645954,1
528,5,39.601837298482245,1
529,5,39.570654371045556,1
530,5,39.570654371045556,1
531,5,39.570654371045556,1
532,5,39.5028317747068,1
533,5,39.49061166337202,1
534,5,39.47454706086822,1
535,5,39.44704041507838,1
536,5,39.427845967822236,1
537,5,39.368788218178636,1
538,5,39.31982739098293,1
539,5,37.50002345904788,1
540,5,30.84094470078547,1
541,5,30.752975927839515,1
542,5,30.737309811095116,1
543,5,30.737309811095116,1
544,5,30.667281206734632,1
545,5,30.64341372532799,1
546,5,30.64341372532799,1
547,5,30.62936197187234,1
548,5,30.62936197187234,1
549,5,30.624721592315836,1
550,5,30.62010264645954,1
551,5,30.57065437104556,1
552,5,30.57065437104556,1
