parents,parents_beaten,beaten,p,e,t
0+6 (0.69:0.31),7 & 6,1,[ 0.  0.  0.  0. 74.  0.  0.  0.],[ 60.  40.  60.  60.   0.  70. 100.  70.],[378 298 224 501 293 235  25 305]
0+6 (0.70:0.30),7 & 6,1,[ 0.  0.  0.  0. 74.  0.  0.  0.],[ 70.  50.  60.  60.   0.  70. 100.  70.],[332 304 226 501 293 235  25 299]
0+6 (0.71:0.29),7 & 6,1,[ 0.  0.  0.  0. 74.  0.  0.  0.],[ 70.  50.  80.  60.   0.  70. 100.  70.],[374 304 227 501 293 277  25 322]
0+6 (0.72:0.28),7 & 6,1,[ 0.  0.  0.  0. 74.  0.  0.  0.],[ 60.  50.  80.  60.   0.  70. 100.  70.],[374 300 225 502 293 277  25 321]
0+6 (0.73:0.27),7 & 6,1,[ 0.  0.  0.  0. 74.  0.  0.  0.],[ 60.  50.  80.  60.   0.  70. 100.  70.],[332 303 227 502 293 277  25 321]
0+6 (0.74:0.26),7 & 6,1,[ 0.  0.  0.  0. 74.  0.  0.  0.],[ 70.  20.  80.  60.   0.  70. 100.  70.],[319 305 227 498 293 277  25 311]
0+6 (0.75:0.25),7 & 6,1,[ 0.  0.  0.  0. 74.  0.  0.  0.],[ 60.  40.  30.  60.   0.  70. 100.  70.],[319 300 337 482 267 277  25 300]
0+6 (0.76:0.24),7 & 6,1,[ 0.  0.  0.  0. 74.  0.  0.  0.],[ 70.  60.  30.  60.   0.  70. 100.  70.],[319 298 337 497 267 274  25 389]
0+6 (0.77:0.23),7 & 6,1,[ 0.  0.  0.  0. 74.  0.  0.  0.],[ 60.  40.  70.  60.   0.  70. 100.  40.],[319 309 225 501 267 274  25 457]
0+6 (0.78:0.22),7 & 6,1,[ 0.  0.  0.  0. 74.  0.  0.  0.],[ 60.  60.  70.  60.   0.  70. 100.  30.],[382 311 225 501 267 276  25 490]
0+6 (0.79:0.21),7 & 6,2,[ 0.  0.  0.  0. 73.  0.  0. 13.],[ 50.  50.  70.  60.   0.  70. 100.   0.],[383 326 228 530 267 249  25 633]
0+6 (0.80:0.20),7 & 6,2,[ 0.  0.  0.  0. 73.  0.  0. 57.],[ 40.  50.  70.  60.   0.  70. 100.   0.],[387 358 228 532 267 249  25 386]
0+6 (0.81:0.19),7 & 6,2,[ 0.  0.  0.  0. 85.  0.  0. 58.],[ 40.  60.  70.  60.   0.  70. 100.   0.],[400 361 227 532 228 249  25 353]
0+6 (0.82:0.18),7 & 6,2,[ 0.  0.  0.  0. 92.  0.  0. 57.],[ 40.  50.  70.  60.   0.  70. 100.   0.],[400 357 225 532 187 264  25 385]
0+6 (0.83:0.17),7 & 6,2,[ 0.  0.  0.  0. 85.  0.  0. 69.],[ 40.  10.  50.  60.   0.  70. 100.   0.],[345 362 338 532 228 264  25 353]
0+6 (0.84:0.16),7 & 6,3,[ 0. 64.  0.  0. 86.  0.  0. 43.],[ 70.   0.  70.  60.   0.  70. 100.   0.],[397 278 343 532 175 264  25 719]
0+6 (0.85:0.15),7 & 6,4,[ 0. 64. 36.  0. 89.  0.  0. 69.],[ 40.   0.   0.  60.   0.  70. 100.   0.],[385 288 422 532 201 264  25 353]
0+6 (0.86:0.14),7 & 6,4,[ 0. 68. 12.  0. 87.  0.  0. 65.],[ 30.   0.   0.  60.   0.  70. 100.   0.],[386 288 486 532 227 264  25 370]
0+6 (0.87:0.13),7 & 6,3,[ 0.  0. 24.  0. 86.  0.  0. 49.],[ 20.  10.   0.  60.   0.  70. 100.   0.],[386 365 461 532 240 262  25 512]
0+6 (0.88:0.12),7 & 6,2,[ 0.  0. 24.  0. 86.  0.  0.  0.],[ 30.  10.   0.  60.   0.  70. 100.  10.],[385 363 461 444 240 262  25 889]
0+6 (0.89:0.11),7 & 6,3,[ 0.  0. 20.  0. 86.  0.  0. 43.],[ 30.  10.   0.  60.   0.  70. 100.   0.],[386 363 461 462 213 262  25 576]
0+6 (0.90:0.10),7 & 6,3,[ 0.  0. 12.  0. 86.  0.  0. 63.],[40. 10.  0. 10.  0. 70. 90.  0.],[386 363 496 717 201 261  32 483]
0+6 (0.91:0.09),7 & 6,2,[ 0.  0.  0.  0. 86.  0.  0. 18.],[50. 10. 10. 10.  0. 70. 90.  0.],[397 363 508 781 201 249  32 932]
0+6 (0.92:0.08),7 & 6,2,[ 0.  0.  0.  0. 91.  0.  0. 34.],[50. 10. 10. 10.  0. 70. 90.  0.],[385 363 508 780 199 249  32 678]
0+6 (0.93:0.07),7 & 6,2,[ 0.  0.  0.  0. 91.  0.  0. 68.],[50. 10. 10. 20.  0. 70. 90.  0.],[385 363 508 715 199 249  32 262]
0+6 (0.94:0.06),7 & 6,3,[ 0.  0. 20.  0. 83.  0.  0. 51.],[40. 10.  0. 20.  0. 70. 90.  0.],[385 363 486 715 252 249  32 512]
0+6 (0.95:0.05),7 & 6,3,[ 0.  0. 20.  0. 88.  0.  0. 68.],[30. 10.  0. 20.  0. 70. 20.  0.],[385 363 486 716 251 249 172 368]
0+6 (0.96:0.04),7 & 6,3,[ 0.  0. 20.  0. 86.  0.  0. 59.],[20. 10.  0. 10.  0. 70. 20.  0.],[385 363 486 845 251 249 172 470]
0+6 (0.97:0.03),7 & 6,3,[ 0.  0. 20.  0. 79.  0.  0. 36.],[20. 10.  0. 10.  0. 80. 20.  0.],[385 363 486 845 240 285 171 657]
0+6 (0.98:0.02),7 & 6,4,[100.   0.  22.   0.  78.   0.   0.   9.],[ 0. 10.  0. 20.  0. 70. 20.  0.],[184 363 486 781 241 300 171 954]
0+6 (0.99:0.01),7 & 6,4,[ 0. 70. 22.  0. 91.  0.  0. 50.],[20.  0.  0. 70.  0. 60. 10.  0.],[397 288 486 462 174 515 171 483]
0+7 (0.01:0.99),7 & 6,4,[ 0. 64.  0.  0. 65.  0.  9.  5.],[70.  0. 60. 60.  0. 20.  0.  0.],[312 258 223 249 268 339 210 480]
0+7 (0.02:0.98),7 & 6,5,[ 0. 64.  0.  0. 65.  0.  9.  5.],[70.  0. 30. 60.  0.  0.  0.  0.],[312 258 327 242 268 340 210 480]
0+7 (0.03:0.97),7 & 6,4,[ 0. 64.  0.  0. 65.  0.  9.  5.],[70.  0. 30. 70.  0. 10.  0.  0.],[312 258 327 259 268 342 210 480]
0+7 (0.04:0.96),7 & 6,4,[ 0. 64.  0.  0. 65.  0. 12.  5.],[70.  0. 30. 70.  0. 10.  0.  0.],[312 258 332 277 268 343 210 480]
0+7 (0.05:0.95),7 & 6,3,[ 0. 70.  0.  0. 65.  0.  0.  5.],[70.  0. 20. 70.  0. 10. 20.  0.],[312 247 331 277 268 342 232 480]
0+7 (0.06:0.94),7 & 6,3,[ 0. 76.  0.  0. 65.  0.  0.  5.],[70.  0. 20. 70.  0. 80. 20.  0.],[312 237 334 272 268 171 242 480]
0+7 (0.07:0.93),7 & 6,3,[ 0. 76.  0.  0. 65.  0.  0.  5.],[70.  0. 40. 70.  0. 80. 20.  0.],[312 237 335 272 268 170 246 480]
0+7 (0.08:0.92),7 & 6,3,[ 0. 76.  0.  0. 65.  0.  0.  5.],[70.  0. 60. 70.  0. 80. 20.  0.],[312 237 337 269 268 163 251 480]
0+7 (0.09:0.91),7 & 6,3,[ 0. 76.  0.  0. 65.  0.  0.  5.],[70.  0. 60. 70.  0. 80. 10.  0.],[312 237 338 269 268 174 318 480]
0+7 (0.10:0.90),7 & 6,3,[ 0. 76.  0.  0. 65.  0.  0.  5.],[70.  0. 60. 70.  0. 80. 10.  0.],[312 237 337 269 268 174 319 480]
0+7 (0.11:0.89),7 & 6,3,[ 0. 76.  0.  0. 65.  0.  0.  6.],[70.  0. 60. 70.  0. 50. 10.  0.],[312 237 337 269 268 216 322 480]
0+7 (0.12:0.88),7 & 6,3,[ 0. 76.  0.  0. 65.  0.  0.  6.],[70.  0. 60. 70.  0. 80. 10.  0.],[312 237 337 269 268 172 326 480]
0+7 (0.13:0.87),7 & 6,3,[ 0. 76.  0.  0. 65.  0.  0.  6.],[70.  0. 60. 70.  0. 80. 10.  0.],[312 237 337 269 268 172 326 480]
0+7 (0.14:0.86),7 & 6,3,[ 0. 76.  0.  0. 65.  0.  0.  6.],[70.  0. 60. 70.  0. 80. 10.  0.],[312 237 337 269 268 172 326 480]
0+7 (0.15:0.85),7 & 6,3,[ 0. 76.  0.  0. 65.  0.  0.  6.],[70.  0. 60. 70.  0. 70. 10.  0.],[312 237 337 269 268 172 325 480]
0+7 (0.16:0.84),7 & 6,3,[ 0. 76.  0.  0. 65.  0.  0.  6.],[70.  0. 60. 70.  0. 70. 10.  0.],[312 237 337 269 268 172 326 480]
0+7 (0.17:0.83),7 & 6,3,[ 0. 70.  0.  0. 65.  0.  0.  6.],[70.  0. 60. 70.  0. 70. 10.  0.],[312 247 337 269 268 172 327 480]
0+7 (0.18:0.82),7 & 6,3,[ 0. 70.  0.  0. 65.  0.  0.  6.],[70.  0. 60. 70.  0. 70. 10.  0.],[312 247 337 269 268 172 327 480]
0+7 (0.19:0.81),7 & 6,3,[ 0. 70.  0.  0. 65.  0.  0.  6.],[70.  0. 60. 70.  0. 70. 10.  0.],[312 247 337 269 268 163 332 480]
0+7 (0.20:0.80),7 & 6,3,[ 0. 70.  0.  0. 65.  0.  0.  6.],[70.  0. 60. 70.  0. 70. 10.  0.],[312 247 337 269 268 163 332 480]
0+7 (0.21:0.79),7 & 6,3,[ 0. 70.  0.  0. 65.  0.  0.  6.],[70.  0. 60. 70.  0. 70. 10.  0.],[312 247 337 269 268 163 332 480]
0+7 (0.22:0.78),7 & 6,3,[ 0. 70.  0.  0. 65.  0.  0.  6.],[70.  0. 60. 70.  0. 70. 10.  0.],[312 247 337 269 268 163 331 480]
0+7 (0.23:0.77),7 & 6,2,[ 0. 70.  0.  0. 65.  0.  0.  0.],[70.  0. 60. 70.  0. 70. 10. 30.],[312 247 337 269 268 163 332 391]
0+7 (0.24:0.76),7 & 6,2,[ 0. 70.  0.  0. 65.  0.  0.  0.],[70.  0. 60. 70.  0. 70. 10. 30.],[312 247 337 269 268 163 333 391]
0+7 (0.25:0.75),7 & 6,2,[ 0. 70.  0.  0. 65.  0.  0.  0.],[70.  0. 60. 70.  0. 70. 10. 30.],[312 247 337 269 268 163 333 391]
0+7 (0.26:0.74),7 & 6,2,[ 0. 70.  0.  0. 65.  0.  0.  0.],[70.  0. 60. 70.  0. 70. 10. 30.],[312 247 337 269 268 163 335 391]
0+7 (0.27:0.73),7 & 6,2,[ 0. 70.  0.  0. 65.  0.  0.  0.],[70.  0. 60. 70.  0. 70. 10. 30.],[312 247 337 269 268 163 334 391]
0+7 (0.28:0.72),7 & 6,2,[ 0. 70.  0.  0. 65.  0.  0.  0.],[70.  0. 60. 70.  0. 70. 10. 30.],[312 247 337 269 268 163 336 391]
0+7 (0.29:0.71),7 & 6,2,[ 0. 70.  0.  0. 65.  0.  0.  0.],[70.  0. 60. 70.  0. 70. 10. 30.],[312 247 337 269 268 163 362 391]
0+7 (0.30:0.70),7 & 6,2,[ 0. 70.  0.  0. 65.  0.  0.  0.],[70.  0. 60. 70.  0. 70. 10. 50.],[312 247 337 269 268 163 381 373]
0+7 (0.31:0.69),7 & 6,2,[ 0. 70.  0.  0. 65.  0.  0.  0.],[70.  0. 60. 70.  0. 70. 10. 50.],[312 247 337 269 268 163 382 373]
0+7 (0.32:0.68),7 & 6,2,[ 0. 70.  0.  0. 65.  0.  0.  0.],[70.  0. 60. 70.  0. 70. 10. 50.],[312 247 337 269 268 163 383 373]
0+7 (0.33:0.67),7 & 6,2,[ 0. 70.  0.  0. 65.  0.  0.  0.],[70.  0. 60. 70.  0. 70. 10. 50.],[312 247 337 269 268 163 382 373]
0+7 (0.34:0.66),7 & 6,2,[ 0. 70.  0.  0. 65.  0.  0.  0.],[70.  0. 60. 70.  0. 70. 10. 50.],[312 247 337 269 268 163 382 373]
0+7 (0.35:0.65),7 & 6,2,[ 0. 70.  0.  0. 65.  0.  0.  0.],[70.  0. 60. 70.  0. 70. 10. 50.],[312 247 337 269 268 163 382 373]
0+7 (0.36:0.64),7 & 6,2,[ 0. 70.  0.  0. 65.  0.  0.  0.],[70.  0. 60. 70.  0. 70. 10. 50.],[312 247 337 269 268 163 384 373]
0+7 (0.37:0.63),7 & 6,2,[ 0. 70.  0.  0. 65.  0.  0.  0.],[70.  0. 60. 70.  0. 70. 10. 50.],[312 247 337 269 268 163 383 373]
0+7 (0.38:0.62),7 & 6,2,[ 0. 70.  0.  0. 65.  0.  0.  0.],[70.  0. 60. 70.  0. 70. 10. 50.],[312 247 337 269 268 163 383 373]
0+7 (0.39:0.61),7 & 6,2,[ 0. 70.  0.  0. 65.  0.  0.  0.],[70.  0. 60. 70.  0. 70. 10. 50.],[312 247 337 269 268 163 382 373]
0+7 (0.40:0.60),7 & 6,2,[ 0. 70.  0.  0. 65.  0.  0.  0.],[70.  0. 60. 70.  0. 70. 10. 50.],[312 247 337 269 268 163 382 373]
0+7 (0.41:0.59),7 & 6,2,[ 0. 70.  0.  0. 65.  0.  0.  0.],[70.  0. 60. 70.  0. 70. 10. 50.],[312 247 337 269 268 163 381 373]
0+7 (0.42:0.58),7 & 6,2,[ 0. 70.  0.  0. 65.  0.  0.  0.],[70.  0. 60. 70.  0. 70. 10. 50.],[312 247 337 269 268 163 381 373]
0+7 (0.43:0.57),7 & 6,2,[ 0. 70.  0.  0. 65.  0.  0.  0.],[70.  0. 60. 70.  0. 70. 10. 50.],[312 247 337 269 268 163 380 373]
0+7 (0.44:0.56),7 & 6,2,[ 0. 70.  0.  0. 65.  0.  0.  0.],[70.  0. 60. 70.  0. 70. 10. 50.],[312 247 337 269 268 163 377 373]
0+7 (0.45:0.55),7 & 6,2,[ 0. 70.  0.  0. 65.  0.  0.  0.],[70.  0. 60. 70.  0. 70. 10. 50.],[312 247 337 269 268 163 375 373]
0+7 (0.46:0.54),7 & 6,2,[ 0. 70.  0.  0. 65.  0.  0.  0.],[70.  0. 60. 70.  0. 70. 10. 50.],[312 247 337 269 268 163 358 373]
0+7 (0.47:0.53),7 & 6,2,[ 0. 70.  0.  0. 65.  0.  0.  0.],[70.  0. 60. 70.  0. 70. 10. 50.],[312 247 337 269 268 163 357 373]
0+7 (0.48:0.52),7 & 6,2,[ 0. 70.  0.  0. 65.  0.  0.  0.],[70.  0. 60. 70.  0. 70. 10. 50.],[313 247 337 269 268 163 356 373]
0+7 (0.49:0.51),7 & 6,2,[ 0. 70.  0.  0. 65.  0.  0.  0.],[70.  0. 60. 70.  0. 70. 10. 10.],[313 247 337 269 268 163 353 391]
0+7 (0.50:0.50),7 & 6,2,[ 0. 70.  0.  0. 65.  0.  0.  0.],[70.  0. 60. 70.  0. 70. 10. 10.],[313 247 337 272 268 163 351 391]
0+7 (0.51:0.49),7 & 6,3,[ 0. 78.  0.  0. 65.  0.  9.  0.],[70.  0. 60. 70.  0. 70.  0. 80.],[311 237 337 276 268 163 392 283]
0+7 (0.52:0.48),7 & 6,2,[ 0. 78.  0.  0. 66.  0.  0.  0.],[70.  0. 50. 70.  0. 70. 10. 80.],[308 237 337 289 294 163 309 276]
0+7 (0.53:0.47),7 & 6,2,[ 0. 78.  0.  0. 62.  0.  0.  0.],[70.  0. 50. 70.  0. 70. 10. 70.],[308 237 337 288 268 163 317 261]
0+7 (0.54:0.46),7 & 6,2,[ 0. 74.  0.  0. 62.  0.  0.  0.],[70.  0. 50. 70.  0. 70. 10. 70.],[308 247 337 288 268 163 317 275]
0+7 (0.55:0.45),7 & 6,2,[ 0. 74.  0.  0. 62.  0.  0.  0.],[70.  0. 50. 70.  0. 70. 10. 70.],[308 258 337 290 268 161 318 276]
0+7 (0.56:0.44),7 & 6,2,[ 0. 74.  0.  0. 62.  0.  0.  0.],[70.  0. 50. 70.  0. 70. 10. 70.],[308 258 337 334 268 161 318 284]
0+7 (0.57:0.43),7 & 6,2,[ 0. 70.  0.  0. 62.  0.  0.  0.],[70.  0. 50. 70.  0. 70. 10. 70.],[308 258 336 309 268 161 318 284]
0+7 (0.58:0.42),7 & 6,2,[ 0. 72.  0.  0. 62.  0.  0.  0.],[70.  0. 40. 70.  0. 70. 10. 70.],[308 278 337 346 268 241 328 293]
0+7 (0.59:0.41),7 & 6,2,[ 0. 72.  0.  0. 62.  0.  0.  0.],[70.  0. 70. 70.  0. 70. 10. 70.],[308 278 227 346 268 242 185 297]
0+7 (0.60:0.40),7 & 6,2,[ 0. 72.  0.  0. 62.  0.  0.  0.],[70.  0. 20. 70.  0. 70. 10. 70.],[308 278 501 346 268 242 185 285]
0+7 (0.61:0.39),7 & 6,2,[ 0. 72.  0.  0. 63.  0.  0.  0.],[70.  0. 50. 70.  0. 70. 10. 70.],[308 278 341 346 268 201 185 290]
0+7 (0.62:0.38),7 & 6,2,[ 0. 72.  0.  0. 63.  0.  0.  0.],[70.  0. 60. 70.  0. 70. 10. 70.],[308 278 340 346 294 199 185 268]
0+7 (0.63:0.37),7 & 6,2,[ 0. 72.  0.  0. 67.  0.  0.  0.],[70.  0. 60. 70.  0. 70. 10. 70.],[308 278 338 346 268 199 185 268]
0+7 (0.64:0.36),7 & 6,2,[ 0. 72.  0.  0. 65.  0.  0.  0.],[70.  0. 70. 70.  0. 70. 10. 70.],[308 278 338 346 307 199 181 299]
0+7 (0.65:0.35),7 & 6,2,[ 0. 72.  0.  0. 72.  0.  0.  0.],[70.  0. 70. 70.  0. 70. 10. 70.],[308 278 225 346 306 199 181 265]
0+7 (0.66:0.34),7 & 6,2,[ 0. 72.  0.  0. 69.  0.  0.  0.],[70.  0. 80. 70.  0. 70. 10. 70.],[308 278 223 346 294 199 181 265]
0+7 (0.67:0.33),7 & 6,2,[ 0. 72.  0.  0. 69.  0.  0.  0.],[70.  0. 60. 70.  0. 70. 10. 70.],[315 278 225 346 294 262 180 265]
0+7 (0.68:0.32),7 & 6,2,[ 0. 72.  0.  0. 69.  0.  0.  0.],[70.  0. 80. 70.  0. 70. 10. 70.],[315 278 224 346 307 262 179 265]
0+7 (0.69:0.31),7 & 6,2,[ 0. 72.  0.  0. 68.  0.  0.  0.],[70.  0. 80. 70.  0. 70. 10. 70.],[314 278 224 346 294 262 179 299]
0+7 (0.70:0.30),7 & 6,2,[ 0. 72.  0.  0. 68.  0.  0.  0.],[70.  0. 60. 70.  0. 70. 10. 70.],[314 278 335 411 294 262 179 323]
0+7 (0.71:0.29),7 & 6,3,[ 0. 72.  0.  0. 68.  0. 81.  0.],[70.  0. 80. 70.  0. 70.  0. 70.],[314 278 227 410 294 262 171 273]
0+7 (0.72:0.28),7 & 6,2,[ 0. 72.  0.  0. 68.  0.  0.  0.],[70.  0. 50. 70.  0. 70. 90. 70.],[322 278 335 416 294 262  32 307]
0+7 (0.73:0.27),7 & 6,2,[ 0. 76.  0.  0. 68.  0.  0.  0.],[70.  0. 80. 70.  0. 70. 90. 70.],[322 258 227 416 294 262  32 344]
0+7 (0.74:0.26),7 & 6,2,[ 0. 78.  0.  0. 71.  0.  0.  0.],[70.  0. 60. 70.  0. 70. 90. 70.],[322 278 337 416 294 277  32 344]
0+7 (0.75:0.25),7 & 6,2,[ 0. 78.  0.  0. 71.  0.  0.  0.],[70.  0. 60. 70.  0. 70. 90. 70.],[322 278 337 416 294 259  32 300]
0+7 (0.76:0.24),7 & 6,2,[ 0. 78.  0.  0. 76.  0.  0.  0.],[70.  0. 60. 70.  0. 70. 90. 70.],[326 278 337 416 294 275  32 299]
0+7 (0.77:0.23),7 & 6,2,[ 0. 70.  0.  0. 75.  0.  0.  0.],[70.  0. 50. 70.  0. 70. 90. 30.],[323 258 342 417 294 239  32 456]
0+7 (0.78:0.22),7 & 6,3,[ 0. 76.  0.  0. 75.  0.  0. 27.],[70.  0. 30. 60.  0. 70. 90.  0.],[332 247 453 647 294 252  32 541]
0+7 (0.79:0.21),7 & 6,3,[ 0. 76.  0.  0. 74.  0.  0. 30.],[70.  0. 40. 70.  0. 70. 90.  0.],[329 247 454 378 294 252  32 541]
0+7 (0.80:0.20),7 & 6,3,[ 0. 76.  0.  0. 74.  0.  0. 51.],[ 60.   0.  60.  70.   0.  70. 100.   0.],[328 247 340 337 294 248  25 509]
0+7 (0.81:0.19),7 & 6,4,[ 0. 76. 52.  0. 73.  0.  0. 60.],[ 60.   0.   0.  70.   0.  70. 100.   0.],[330 247 384 424 242 248  25 357]
0+7 (0.82:0.18),7 & 6,4,[ 0. 74. 52.  0. 71.  0.  0. 33.],[ 60.   0.   0.  70.   0.  70. 100.   0.],[330 247 384 424 293 248  25 653]
0+7 (0.83:0.17),7 & 6,4,[ 0. 74. 52.  0. 74.  0.  0. 60.],[ 70.   0.   0.  30.   0.  70. 100.   0.],[328 247 422 701 267 248  25 457]
0+7 (0.84:0.16),7 & 6,4,[ 0. 82. 26.  0. 72.  0.  0. 24.],[ 60.   0.   0.  70.   0.  70. 100.   0.],[331 237 461 347 267 248  25 679]
0+7 (0.85:0.15),7 & 6,3,[ 0. 82. 40.  0. 74.  0.  0.  0.],[70.  0.  0. 70.  0. 70. 90. 10.],[331 237 461 356 268 248  32 804]
0+7 (0.86:0.14),7 & 6,4,[ 0. 82. 16.  0. 90.  0.  0. 19.],[70.  0.  0. 70.  0. 70. 90.  0.],[331 237 461 425 188 264  32 678]
0+7 (0.87:0.13),7 & 6,3,[ 0. 82.  0.  0. 80.  0.  0. 21.],[60.  0. 10. 70.  0. 70. 90.  0.],[331 237 518 352 228 264  32 678]
0+7 (0.88:0.12),7 & 6,3,[ 0. 82.  0.  0. 91.  0.  0.  1.],[60.  0. 10. 60.  0. 70. 90.  0.],[332 237 518 429 162 264  32 678]
0+7 (0.89:0.11),7 & 6,2,[ 0. 68.  0.  0. 90.  0.  0.  0.],[60.  0. 10. 60.  0. 70. 90. 20.],[332 278 518 393 187 264  32 599]
0+7 (0.90:0.10),7 & 6,2,[ 0. 68.  0.  0. 88.  0.  0.  0.],[70.  0. 10. 50.  0. 70. 90. 10.],[332 278 515 639 212 264  32 677]
0+7 (0.91:0.09),7 & 6,4,[ 0. 68. 30.  0. 87.  0.  0.  9.],[60.  0.  0. 60.  0. 70. 90.  0.],[332 288 496 433 200 249  32 656]
0+7 (0.92:0.08),7 & 6,4,[ 0. 68. 38.  0. 87.  0.  0.  8.],[50.  0.  0. 60.  0. 70. 90.  0.],[345 288 497 509 200 249  33 600]
0+7 (0.93:0.07),7 & 6,3,[ 0. 68. 18.  0. 86.  0.  0.  0.],[40.  0.  0. 60.  0. 70. 90. 10.],[400 288 461 486 200 249  37 676]
0+7 (0.94:0.06),7 & 6,4,[ 0. 70. 24.  0. 91.  0.  0.  5.],[40.  0.  0. 60.  0. 70. 10.  0.],[345 288 487 488 199 249 171 748]
0+7 (0.95:0.05),7 & 6,3,[ 0.  0.  4.  0. 87.  0.  0. 62.],[30. 20.  0. 60.  0. 70. 10.  0.],[345 363 497 493 239 249 171 366]
0+7 (0.96:0.04),7 & 6,3,[ 0.  0. 24.  0. 88.  0.  0. 43.],[30. 30.  0. 60.  0. 70. 10.  0.],[386 363 497 491 265 249 171 496]
0+7 (0.97:0.03),7 & 6,3,[ 0. 68. 24.  0. 84.  0.  0.  0.],[40.  0.  0. 50.  0. 80. 10. 10.],[385 288 497 579 251 285 171 962]
0+7 (0.98:0.02),7 & 6,4,[ 0. 68. 22.  0. 79.  0.  0. 32.],[20.  0.  0. 10.  0. 80. 10.  0.],[385 288 486 779 240 298 171 666]
0+7 (0.99:0.01),7 & 6,5,[100.  70.  22.   0.  78.   0.   0.  26.],[ 0.  0.  0. 70.  0. 60. 10.  0.],[184 278 486 531 241 515 171 645]
1+2 (0.01:0.99),7 & 6,5,[ 0. 64. 30.  0. 69.  0. 91. 59.],[70.  0.  0. 50.  0. 10.  0.  0.],[365 258 474 696 294 253 150 331]
1+2 (0.02:0.98),7 & 6,4,[ 0. 70.  0.  0. 62.  0. 91. 59.],[70.  0. 10. 70.  0. 60.  0.  0.],[365 258 516 808 294 333 150 331]
1+2 (0.03:0.97),7 & 6,4,[ 0. 70. 18.  0. 62.  0.  0. 59.],[70.  0.  0. 20.  0. 60. 10.  0.],[365 258 509 734 268 333 204 331]
1+2 (0.04:0.96),7 & 6,3,[ 0. 70.  0.  0. 63.  0.  0. 59.],[70.  0. 10. 30.  0. 40. 10.  0.],[365 258 526 751 268 363 204 331]
1+2 (0.05:0.95),7 & 6,4,[ 0. 72. 22.  0. 63.  0.  0. 59.],[70.  0.  0. 30.  0. 60. 10.  0.],[365 278 497 838 268 330 204 331]
1+2 (0.06:0.94),7 & 6,4,[ 0. 72. 22.  0. 63.  0.  0. 59.],[70.  0.  0. 50.  0. 60. 10.  0.],[365 278 497 678 268 336 204 331]
1+2 (0.07:0.93),7 & 6,4,[ 0. 72. 22.  0. 63.  0.  0. 59.],[70.  0.  0. 40.  0. 50. 10.  0.],[365 278 497 827 268 377 263 331]
1+2 (0.08:0.92),7 & 6,3,[ 0. 72.  0.  0. 63.  0.  0. 59.],[70.  0. 20. 30.  0. 60. 10.  0.],[365 278 499 777 268 363 232 331]
1+2 (0.09:0.91),7 & 6,4,[ 0. 72. 10.  0. 63.  0.  0. 51.],[70.  0.  0. 50.  0. 70. 10.  0.],[365 278 484 748 268 229 232 320]
1+2 (0.10:0.90),7 & 6,5,[ 0. 72. 52.  8. 63.  0.  0. 51.],[70.  0.  0.  0.  0. 50. 10.  0.],[365 278 448 886 268 270 257 320]
1+2 (0.11:0.89),7 & 6,5,[ 0. 72. 66.  8. 63.  0.  0. 51.],[70.  0.  0.  0.  0. 70. 10.  0.],[ 365  278  373 1081  268  334  202  320]
1+2 (0.12:0.88),7 & 6,3,[ 0. 70.  0.  0. 63.  0.  0. 51.],[70.  0. 20. 40.  0. 60. 10.  0.],[365 278 539 711 268 259 202 320]
1+2 (0.13:0.87),7 & 6,3,[ 0. 70.  0.  0. 63.  0.  0. 51.],[70.  0. 20. 20.  0. 60. 10.  0.],[365 278 530 803 268 269 202 320]
1+2 (0.14:0.86),7 & 6,4,[ 0. 70.  0.  9. 63.  0.  0. 51.],[70.  0. 10.  0.  0. 60. 10.  0.],[365 278 538 944 268 333 202 320]
1+2 (0.15:0.85),7 & 6,4,[ 0. 70.  0. 12. 63.  0.  0. 51.],[70.  0. 30.  0.  0. 60. 10.  0.],[ 365  278  531 1020  268  327  202  320]
1+2 (0.16:0.84),7 & 6,4,[ 0. 70.  0. 33. 63.  0.  0. 51.],[70.  0. 30.  0.  0. 60. 10.  0.],[365 288 529 938 268 436 202 320]
1+2 (0.17:0.83),7 & 6,3,[ 0. 74.  0.  0. 63.  0.  0. 51.],[70.  0. 40. 20.  0. 60. 10.  0.],[ 365  278  539 1161  268  342  202  321]
1+2 (0.18:0.82),7 & 6,3,[ 0. 82.  0.  0. 63.  0.  0. 19.],[70.  0. 20. 60.  0. 60. 10.  0.],[365 237 531 693 268 414 202 656]
1+2 (0.19:0.81),7 & 6,3,[ 0. 84.  0.  0. 63.  0.  0. 20.],[70.  0. 20. 30.  0. 60. 10.  0.],[365 237 538 991 268 299 202 656]
1+2 (0.20:0.80),7 & 6,3,[ 0. 66.  0.  0. 63.  0.  0. 20.],[70.  0. 20. 10.  0. 60. 10.  0.],[ 365  278  503 1166  268  405  202  580]
1+2 (0.21:0.79),7 & 6,3,[ 0. 76.  0.  0. 63.  0.  0. 21.],[70.  0. 30. 70.  0. 30. 10.  0.],[387 268 533 685 268 287 202 652]
1+2 (0.22:0.78),7 & 6,3,[ 0. 78.  0.  0. 63.  0.  0. 49.],[70.  0. 30. 60.  0. 60. 10.  0.],[387 268 514 815 268 285 202 320]
